User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,Height_m,BMI,BMI_Category,Age_Group,Workout_Intensity
14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0,1.9,26.038781163434905,Overweight,Senior,Moderate
14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0,1.66,21.773842357381334,Normal,Young,Low
11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0,1.79,24.65590961580475,Normal,Senior,Low
16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0,1.79,22.15910864205237,Normal,Adult,Moderate
17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0,1.54,24.456063417102378,Normal,Adult,Low
15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0,1.51,21.928862769176792,Normal,Adult,Low
19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0,1.58,22.432302515622492,Normal,Adult,Low
11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0,1.75,27.755102040816325,Overweight,Senior,Moderate
12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0,1.86,27.170771187420506,Overweight,Senior,Low
17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0,1.46,23.925689622818542,Normal,Adult,Low
13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0,1.77,24.258674071946118,Normal,Adult,Low
13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0,1.57,22.7189744005842,Normal,Young,Moderate
15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0,1.71,27.01685988851271,Overweight,Senior,Low
12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0,1.57,21.907582457706194,Normal,Adult,Low
13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0,1.82,25.661152034778407,Overweight,Senior,Low
17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0,1.56,25.476660092044707,Overweight,Adult,Moderate
12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0,1.82,24.755464315903875,Normal,Adult,Low
15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0,1.69,23.458562375266975,Normal,Senior,Low
11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0,1.71,22.229061933586404,Normal,Adult,Low
16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0,1.88,24.332277048438208,Normal,Senior,Low
11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0,1.89,26.035105400184765,Overweight,Senior,Low
19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0,1.48,22.826880934989045,Normal,Adult,Low
14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0,1.57,24.341758286340216,Normal,Adult,Low
14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0,1.65,21.6712580348944,Normal,Young,Moderate
14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0,1.82,25.661152034778407,Overweight,Senior,Low
17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0,1.76,24.212293388429753,Normal,Adult,Low
10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0,1.73,24.3910588392529,Normal,Adult,Low
15874362,male,42,190.0,88.0,3.0,83.0,38.9,10.0,1.9,24.37673130193906,Normal,Senior,Low
15569252,female,62,159.0,59.0,29.0,106.0,41.2,195.0,1.59,23.337684427040067,Normal,Senior,Moderate
15615743,male,38,171.0,75.0,2.0,81.0,38.2,5.0,1.71,25.64891761567662,Overweight,Adult,Low
13363046,male,20,183.0,88.0,16.0,97.0,40.5,69.0,1.83,26.27728507868255,Overweight,Young,Low
17572853,female,25,160.0,59.0,24.0,102.0,40.3,136.0,1.6,23.046874999999996,Normal,Adult,Moderate
17157339,female,24,165.0,59.0,18.0,91.0,40.2,80.0,1.65,21.6712580348944,Normal,Young,Low
18328111,female,42,165.0,68.0,22.0,93.0,40.8,107.0,1.65,24.977043158861342,Normal,Senior,Low
19303479,male,22,182.0,84.0,29.0,114.0,41.0,200.0,1.82,25.359256128486894,Overweight,Young,Moderate
10699201,female,74,158.0,59.0,10.0,93.0,39.6,56.0,1.58,23.634033007530842,Normal,Senior,Low
15283313,female,70,154.0,59.0,10.0,88.0,40.0,50.0,1.54,24.87771968291449,Normal,Senior,Low
16324247,female,26,182.0,80.0,21.0,96.0,40.5,100.0,1.82,24.151672503320853,Normal,Adult,Low
14277710,male,44,184.0,86.0,25.0,114.0,40.8,200.0,1.84,25.401701323251416,Overweight,Senior,Moderate
10888188,male,61,183.0,86.0,1.0,81.0,38.3,4.0,1.83,25.680074054167036,Overweight,Senior,Low
13379795,female,68,157.0,57.0,13.0,92.0,40.1,70.0,1.57,23.124670372023203,Normal,Senior,Low
17181524,female,61,176.0,70.0,20.0,104.0,40.5,127.0,1.76,22.59814049586777,Normal,Senior,Moderate
15988442,male,63,179.0,80.0,25.0,108.0,40.8,197.0,1.79,24.968009737523797,Normal,Senior,Moderate
19538533,female,54,171.0,66.0,20.0,98.0,40.1,113.0,1.71,22.571047501795427,Normal,Senior,Low
14591877,female,54,169.0,66.0,3.0,80.0,38.9,11.0,1.69,23.1084345786212,Normal,Senior,Low
14274480,female,47,155.0,55.0,16.0,93.0,40.5,82.0,1.55,22.892819979188342,Normal,Senior,Low
16818429,male,33,184.0,86.0,8.0,86.0,39.9,26.0,1.84,25.401701323251416,Overweight,Adult,Low
17476522,female,24,171.0,66.0,24.0,105.0,40.6,141.0,1.71,22.571047501795427,Normal,Young,Moderate
16369885,male,24,195.0,98.0,20.0,96.0,40.6,92.0,1.95,25.77251808021039,Overweight,Young,Low
17816292,male,48,152.0,59.0,2.0,79.0,38.0,5.0,1.52,25.536703601108034,Overweight,Senior,Low
15995398,male,35,193.0,93.0,10.0,83.0,39.7,30.0,1.93,24.967113211092915,Normal,Adult,Low
17615432,male,21,168.0,71.0,3.0,78.0,38.5,3.0,1.68,25.15589569160998,Overweight,Young,Low
10146087,female,21,179.0,73.0,9.0,90.0,39.6,37.0,1.79,22.783308885490467,Normal,Young,Low
17967445,female,22,158.0,62.0,25.0,105.0,40.6,147.0,1.58,24.83576349943919,Normal,Young,Moderate
19670291,female,69,174.0,69.0,2.0,80.0,38.1,8.0,1.74,22.79032897344431,Normal,Senior,Low
10580576,male,53,191.0,101.0,21.0,106.0,40.7,159.0,1.91,27.685644582111237,Overweight,Senior,Moderate
15854213,female,68,155.0,58.0,15.0,100.0,40.3,93.0,1.55,24.141519250780433,Normal,Senior,Moderate
11138472,female,69,164.0,65.0,23.0,113.0,40.4,173.0,1.64,24.167162403331353,Normal,Senior,Moderate
18276801,male,28,198.0,101.0,19.0,95.0,40.6,89.0,1.98,25.762677277828793,Overweight,Adult,Low
13823902,male,70,188.0,89.0,7.0,82.0,39.3,31.0,1.88,25.18107741059303,Overweight,Senior,Low
19222133,female,36,170.0,64.0,9.0,84.0,39.6,35.0,1.7,22.145328719723185,Normal,Adult,Low
13231909,female,77,177.0,80.0,16.0,98.0,40.6,94.0,1.77,25.53544639152223,Overweight,Senior,Low
12726617,female,32,167.0,63.0,9.0,99.0,39.7,49.0,1.67,22.589551436050055,Normal,Adult,Low
12538968,female,62,185.0,77.0,13.0,84.0,40.4,54.0,1.85,22.498173849525198,Normal,Senior,Low
10941668,female,64,151.0,56.0,20.0,97.0,40.4,117.0,1.51,24.560326301478007,Normal,Senior,Low
12628985,male,45,175.0,79.0,27.0,104.0,40.6,173.0,1.75,25.79591836734694,Overweight,Senior,Moderate
17691320,male,45,158.0,61.0,20.0,97.0,40.7,99.0,1.58,24.435186668803073,Normal,Senior,Low
17822027,female,22,177.0,71.0,10.0,93.0,39.8,45.0,1.77,22.66270867247598,Normal,Young,Low
13777657,male,45,169.0,69.0,22.0,113.0,40.6,166.0,1.69,24.158817968558527,Normal,Senior,Moderate
19423359,female,66,174.0,69.0,28.0,111.0,40.9,202.0,1.74,22.79032897344431,Normal,Senior,Moderate
14701930,male,31,182.0,83.0,20.0,101.0,40.9,107.0,1.82,25.057360222195385,Overweight,Adult,Moderate
11513205,female,57,163.0,68.0,29.0,109.0,40.7,199.0,1.63,25.59373706198954,Overweight,Senior,Moderate
11842710,male,53,192.0,93.0,5.0,90.0,39.1,25.0,1.92,25.227864583333336,Overweight,Senior,Low
12576313,female,22,179.0,67.0,8.0,77.0,39.5,23.0,1.79,20.91070815517618,Normal,Young,Low
12367125,male,67,192.0,92.0,24.0,108.0,40.7,200.0,1.92,24.95659722222222,Normal,Senior,Moderate
16913504,female,27,168.0,64.0,2.0,76.0,38.2,6.0,1.68,22.67573696145125,Normal,Adult,Low
19439155,male,57,178.0,83.0,2.0,79.0,38.1,7.0,1.78,26.19618735008206,Overweight,Senior,Low
16137644,female,49,168.0,68.0,20.0,99.0,40.6,113.0,1.68,24.092970521541954,Normal,Senior,Low
11622081,female,39,168.0,63.0,29.0,108.0,40.7,188.0,1.68,22.321428571428577,Normal,Adult,Moderate
17374074,male,47,165.0,72.0,20.0,96.0,40.3,103.0,1.65,26.44628099173554,Overweight,Senior,Low
19096890,male,62,197.0,101.0,17.0,103.0,40.3,128.0,1.97,26.02489113349996,Overweight,Senior,Moderate
19628507,male,41,187.0,89.0,23.0,99.0,40.7,130.0,1.87,25.45111384369012,Overweight,Senior,Low
16918679,female,34,144.0,50.0,7.0,83.0,39.3,27.0,1.44,24.112654320987655,Normal,Adult,Low
11194130,female,40,163.0,62.0,27.0,111.0,41.2,185.0,1.63,23.335466144755166,Normal,Senior,Moderate
18863486,female,55,155.0,57.0,11.0,92.0,39.8,57.0,1.55,23.725286160249738,Normal,Senior,Low
11754581,male,44,189.0,88.0,13.0,94.0,40.0,65.0,1.89,24.635368550712467,Normal,Senior,Low
15161631,female,45,160.0,60.0,16.0,99.0,40.4,91.0,1.6,23.437499999999996,Normal,Senior,Low
18735761,female,49,164.0,64.0,19.0,105.0,40.4,120.0,1.64,23.795359904818564,Normal,Senior,Moderate
15878611,female,46,166.0,68.0,12.0,101.0,40.1,70.0,1.66,24.677021338365513,Normal,Senior,Moderate
19249559,male,25,202.0,100.0,9.0,94.0,39.8,39.0,2.02,24.50740123517302,Normal,Adult,Low
15469030,male,68,171.0,80.0,22.0,95.0,40.5,136.0,1.71,27.358845456721728,Overweight,Senior,Low
11157560,female,25,169.0,64.0,14.0,101.0,40.2,77.0,1.69,22.40817898532965,Normal,Adult,Moderate
19576971,female,31,174.0,67.0,9.0,93.0,39.5,42.0,1.74,22.12973972783723,Normal,Adult,Low
15048071,male,57,184.0,91.0,7.0,95.0,39.2,41.0,1.84,26.878544423440452,Overweight,Senior,Low
18707469,female,27,159.0,59.0,14.0,88.0,39.9,59.0,1.59,23.337684427040067,Normal,Adult,Low
12598637,male,40,201.0,98.0,24.0,110.0,40.7,179.0,2.01,24.256825326105798,Normal,Senior,Moderate
14342169,female,57,171.0,74.0,2.0,73.0,38.6,6.0,1.71,25.3069320474676,Overweight,Senior,Low
19208771,female,23,155.0,62.0,5.0,74.0,39.2,13.0,1.55,25.806451612903224,Overweight,Young,Low
11790318,male,23,189.0,87.0,23.0,110.0,40.0,147.0,1.89,24.355421180818006,Normal,Young,Moderate
11756583,male,43,183.0,88.0,26.0,107.0,40.7,180.0,1.83,26.27728507868255,Overweight,Senior,Moderate
16417986,male,74,201.0,107.0,14.0,96.0,40.1,101.0,2.01,26.484492958095103,Overweight,Senior,Low
13065142,female,45,158.0,53.0,23.0,106.0,40.7,150.0,1.58,21.230572023714146,Normal,Senior,Moderate
10481882,female,31,165.0,60.0,25.0,115.0,40.8,179.0,1.65,22.03856749311295,Normal,Adult,Moderate
19521409,male,21,195.0,93.0,6.0,93.0,39.2,23.0,1.95,24.45759368836292,Normal,Young,Low
15862346,male,50,190.0,96.0,3.0,80.0,38.3,10.0,1.9,26.59279778393352,Overweight,Senior,Low
12234447,male,39,175.0,74.0,9.0,93.0,39.5,39.0,1.75,24.163265306122447,Normal,Adult,Low
14624633,male,57,169.0,81.0,30.0,112.0,40.9,247.0,1.69,28.360351528307834,Overweight,Senior,Moderate
17074274,female,26,159.0,53.0,19.0,92.0,40.5,89.0,1.59,20.964360587002094,Normal,Adult,Low
17636190,male,34,181.0,83.0,25.0,102.0,40.9,141.0,1.81,25.33500198406642,Overweight,Adult,Moderate
14345479,female,55,160.0,62.0,4.0,87.0,39.1,18.0,1.6,24.218749999999996,Normal,Senior,Low
11772472,female,52,171.0,67.0,15.0,89.0,40.6,70.0,1.71,22.91303307000445,Normal,Senior,Low
19087162,male,21,188.0,90.0,29.0,110.0,40.8,185.0,1.88,25.46401086464464,Overweight,Young,Moderate
15875055,female,20,136.0,45.0,11.0,94.0,40.1,54.0,1.36,24.329584775086502,Normal,Young,Low
10939512,female,79,152.0,60.0,29.0,107.0,40.8,207.0,1.52,25.969529085872576,Overweight,Senior,Moderate
13616455,male,21,189.0,91.0,27.0,114.0,41.0,189.0,1.89,25.475210660395845,Overweight,Young,Moderate
19118405,male,50,171.0,74.0,2.0,82.0,38.1,6.0,1.71,25.3069320474676,Overweight,Senior,Low
10503799,female,29,180.0,76.0,12.0,97.0,39.9,60.0,1.8,23.456790123456788,Normal,Adult,Low
16572590,male,22,194.0,92.0,6.0,92.0,39.0,23.0,1.94,24.444680624933575,Normal,Young,Low
17336010,female,28,158.0,60.0,27.0,113.0,40.8,186.0,1.58,24.034609838166958,Normal,Adult,Moderate
15483091,male,38,188.0,93.0,28.0,104.0,40.9,178.0,1.88,26.312811226799457,Overweight,Adult,Moderate
10006441,male,23,169.0,73.0,25.0,102.0,40.7,122.0,1.69,25.55932915514163,Overweight,Young,Moderate
13075455,female,68,159.0,68.0,24.0,108.0,40.5,166.0,1.59,26.897670187097027,Overweight,Senior,Moderate
17564519,male,79,176.0,86.0,20.0,102.0,40.1,158.0,1.76,27.763429752066116,Overweight,Senior,Moderate
18789619,female,35,182.0,70.0,2.0,83.0,38.4,7.0,1.82,21.132713440405748,Normal,Adult,Low
15444304,male,67,201.0,96.0,18.0,105.0,40.5,143.0,2.01,23.761788074552616,Normal,Senior,Moderate
13122354,female,21,156.0,52.0,12.0,82.0,39.8,43.0,1.56,21.367521367521366,Normal,Young,Low
10692173,female,44,143.0,49.0,17.0,92.0,40.2,86.0,1.43,23.96205193407991,Normal,Senior,Low
12890276,female,43,175.0,72.0,23.0,100.0,40.7,128.0,1.75,23.510204081632654,Normal,Senior,Moderate
14339451,male,21,186.0,79.0,29.0,111.0,41.0,182.0,1.86,22.835009827725745,Normal,Young,Moderate
16626118,female,32,170.0,70.0,10.0,98.0,39.7,52.0,1.7,24.221453287197235,Normal,Adult,Low
17268858,male,79,179.0,91.0,27.0,107.0,40.4,236.0,1.79,28.40111107643332,Overweight,Senior,Moderate
13816658,male,51,192.0,96.0,19.0,97.0,40.6,114.0,1.92,26.041666666666668,Overweight,Senior,Low
14191617,female,60,174.0,67.0,11.0,99.0,39.7,64.0,1.74,22.12973972783723,Normal,Senior,Low
13672975,male,49,184.0,86.0,26.0,103.0,40.8,171.0,1.84,25.401701323251416,Overweight,Senior,Moderate
16361679,male,46,179.0,84.0,6.0,82.0,39.2,19.0,1.79,26.216410224399986,Overweight,Senior,Low
17739883,female,35,149.0,54.0,21.0,111.0,40.5,144.0,1.49,24.32322868339264,Normal,Adult,Moderate
19341462,male,31,172.0,76.0,9.0,94.0,39.7,37.0,1.72,25.689561925365066,Overweight,Adult,Low
14117537,male,42,185.0,78.0,26.0,110.0,41.4,185.0,1.85,22.79035792549306,Normal,Senior,Moderate
12667831,female,66,174.0,69.0,13.0,87.0,39.8,60.0,1.74,22.79032897344431,Normal,Senior,Low
10661999,male,52,189.0,90.0,22.0,96.0,40.5,127.0,1.89,25.195263290501387,Overweight,Senior,Low
10366046,male,59,166.0,73.0,23.0,101.0,40.4,149.0,1.66,26.491508201480624,Overweight,Senior,Moderate
11523134,male,23,169.0,71.0,16.0,102.0,40.1,78.0,1.69,24.859073561850078,Normal,Young,Moderate
12275702,female,49,164.0,63.0,5.0,91.0,38.9,24.0,1.64,23.423557406305775,Normal,Senior,Low
11190411,female,25,157.0,57.0,23.0,107.0,40.8,143.0,1.57,23.124670372023203,Normal,Adult,Moderate
19686449,male,20,188.0,84.0,27.0,104.0,41.0,143.0,1.88,23.766410140334994,Normal,Young,Moderate
15565644,female,28,163.0,66.0,15.0,94.0,40.1,71.0,1.63,24.840980089578082,Normal,Adult,Low
10154011,male,60,182.0,90.0,11.0,90.0,40.2,58.0,1.82,27.17063156623596,Overweight,Senior,Low
12676049,female,29,178.0,77.0,15.0,95.0,40.4,71.0,1.78,24.302487059714682,Normal,Adult,Low
10228092,male,40,184.0,87.0,5.0,88.0,39.5,20.0,1.84,25.697069943289225,Overweight,Senior,Low
18997284,male,26,191.0,93.0,17.0,96.0,40.3,78.0,1.91,25.492722238973712,Overweight,Adult,Low
10836250,female,26,176.0,76.0,19.0,97.0,40.4,93.0,1.76,24.535123966942148,Normal,Adult,Low
15883541,male,25,158.0,58.0,6.0,90.0,39.2,17.0,1.58,23.233456176894723,Normal,Adult,Low
16990389,female,60,190.0,87.0,3.0,84.0,38.9,12.0,1.9,24.099722991689752,Normal,Senior,Low
17046329,male,25,181.0,81.0,23.0,101.0,40.8,115.0,1.81,24.724520008546747,Normal,Adult,Moderate
14136420,female,39,165.0,65.0,19.0,106.0,40.6,119.0,1.65,23.875114784205696,Normal,Adult,Moderate
