Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,Height_m,BMI,Gender_male,BMI_Category_Overweight,Age_Group_Senior,Age_Group_Young,Workout_Intensity_Moderate
68,190.0,94.0,29.0,105.0,40.8,231.0,1.9,26.038781163434905,True,True,True,False,True
20,166.0,60.0,14.0,94.0,40.3,66.0,1.66,21.773842357381334,False,False,False,True,False
69,179.0,79.0,5.0,88.0,38.7,26.0,1.79,24.65590961580475,True,False,True,False,False
34,179.0,71.0,13.0,100.0,40.5,71.0,1.79,22.15910864205237,False,False,False,False,True
27,154.0,58.0,10.0,81.0,39.8,35.0,1.54,24.456063417102374,False,False,False,False,False
36,151.0,50.0,23.0,96.0,40.7,123.0,1.51,21.928862769176792,False,False,False,False,False
33,158.0,56.0,22.0,95.0,40.5,112.0,1.58,22.43230251562249,False,False,False,False,False
41,175.0,85.0,25.0,100.0,40.7,143.0,1.75,27.755102040816325,True,True,True,False,True
60,186.0,94.0,21.0,97.0,40.4,134.0,1.86,27.170771187420502,True,True,True,False,False
26,146.0,51.0,16.0,90.0,40.2,72.0,1.46,23.925689622818545,False,False,False,False,False
36,177.0,76.0,1.0,74.0,37.8,3.0,1.77,24.25867407194612,False,False,False,False,False
21,157.0,56.0,17.0,100.0,40.0,92.0,1.57,22.7189744005842,False,False,False,True,True
66,171.0,79.0,11.0,90.0,40.0,58.0,1.71,27.01685988851271,True,True,True,False,False
32,157.0,54.0,18.0,93.0,40.4,88.0,1.57,21.907582457706194,False,False,False,False,False
53,182.0,85.0,2.0,82.0,38.1,7.0,1.82,25.661152034778407,True,True,True,False,False
39,156.0,62.0,28.0,104.0,40.8,170.0,1.56,25.476660092044707,False,True,False,False,True
39,182.0,82.0,4.0,82.0,38.6,11.0,1.82,24.755464315903875,True,False,False,False,False
46,169.0,67.0,11.0,89.0,40.2,43.0,1.69,23.458562375266972,True,False,True,False,False
27,171.0,65.0,4.0,85.0,38.6,15.0,1.71,22.229061933586404,False,False,False,False,False
50,188.0,86.0,14.0,94.0,40.2,74.0,1.88,24.332277048438208,True,False,True,False,False
67,189.0,93.0,8.0,77.0,39.2,29.0,1.89,26.035105400184765,True,True,True,False,False
31,148.0,50.0,8.0,84.0,39.5,32.0,1.48,22.826880934989045,False,False,False,False,False
33,157.0,60.0,3.0,80.0,38.7,10.0,1.57,24.341758286340216,False,False,False,False,False
20,165.0,59.0,29.0,100.0,41.0,155.0,1.65,21.6712580348944,False,False,False,True,True
48,182.0,85.0,1.0,80.0,37.7,3.0,1.82,25.661152034778407,True,True,True,False,False
29,176.0,75.0,10.0,83.0,39.7,24.0,1.76,24.212293388429757,True,False,False,False,False
33,173.0,73.0,7.0,78.0,39.3,12.0,1.73,24.3910588392529,True,False,False,False,False
42,190.0,88.0,3.0,83.0,38.9,10.0,1.9,24.37673130193906,True,False,True,False,False
62,159.0,59.0,29.0,106.0,41.2,195.0,1.59,23.337684427040067,False,False,True,False,True
38,171.0,75.0,2.0,81.0,38.2,5.0,1.71,25.64891761567662,True,True,False,False,False
20,183.0,88.0,16.0,97.0,40.5,69.0,1.83,26.27728507868255,True,True,False,True,False
25,160.0,59.0,24.0,102.0,40.3,136.0,1.6,23.046875,False,False,False,False,True
24,165.0,59.0,18.0,91.0,40.2,80.0,1.65,21.6712580348944,False,False,False,True,False
